comment_id,user_id,product,comment,rating,timestamp
b1e2864c-f400-4a2c-be84-6ae743655a43,user_9,keyboard,Will buy again,5,2025-06-05T01:55:55.142858
20310eb2-aeda-4f8f-afb9-0443b006dcf2,user_8,headphones,Excellent!,1,2025-06-05T01:55:55.142858
84d7afa5-b557-4d38-8228-772081b2a276,user_17,headphones,Excellent!,3,2025-06-05T01:55:55.142858
1e5fcab8-dd3b-4739-8832-75a0dfd0bfe9,user_11,monitor,Excellent!,5,2025-06-05T01:55:55.142858
02c57fba-d203-4390-b5cb-a15694b1084d,user_17,mouse,Not satisfied,4,2025-06-05T01:55:55.142858
b3e5b3d8-a301-4683-8088-8c09babc0dbb,user_6,headphones,Will buy again,3,2025-06-05T01:55:55.142858
98e19bf5-7fed-455f-b7d8-a26d3322e62c,user_11,headphones,Great product!,1,2025-06-05T01:55:55.142858
f12990b7-b866-4580-bad1-76e212ac2670,user_9,laptop,Too expensive,1,2025-06-05T01:55:55.142858
0a6f1d7b-27fb-434d-b53c-8f8005ded1de,user_1,laptop,Will buy again,1,2025-06-05T01:55:55.142858
d6eb47ef-fd40-4205-83b3-c0860feabaa7,user_9,monitor,Great product!,3,2025-06-05T01:55:55.142858
