rating,product,timestamp,comment_id,comment,user_id
2,monitor,2025-06-08T03:47:32.838003,fda49d61-a95f-41e0-83c6-3c301149c936,Will buy again,user_19
3,monitor,2025-06-08T03:47:32.838044,e217e8be-fc2c-455d-9056-988c70b34302,Excellent!,user_7
4,headphones,2025-06-08T03:47:32.838082,646f9654-f678-4efc-b211-f8516d016260,Excellent!,user_14
2,keyboard,2025-06-08T03:47:32.838121,07dea91d-4cdc-46e6-a186-36770a7dbafe,Will buy again,user_11
3,headphones,2025-06-08T03:47:32.838163,e35f8508-b57c-441d-84c5-ae8b3f30fe70,Too expensive,user_12
2,laptop,2025-06-08T03:47:32.838202,0befa1fb-7930-4578-9f34-d27b55ae903d,Will buy again,user_13
4,laptop,2025-06-08T03:47:32.838241,458f5c00-7bb9-4edd-91a9-c52238eacbb3,Great product!,user_10
3,headphones,2025-06-08T03:47:32.838284,8e842ec3-b61f-46aa-97dc-a76addc0bb8d,Excellent!,user_5
4,headphones,2025-06-08T03:47:32.838323,c7839659-14d0-4ac5-9f2f-c7bf594d176e,Will buy again,user_2
2,monitor,2025-06-08T03:47:32.838362,ca37615f-c0ff-4dae-93fd-4e7948899dbc,Too expensive,user_7
