comment_id,user_id,product,comment,rating,timestamp
d3f0a5bf-26b8-43d1-bcee-e7bf8cbfd520,user_41,webcam,Traditional indeed hold total whom hot manager despite population.,2,2025-06-10T23:30:02.043954+00:00
79f6494f-380f-4005-9e20-f6ae20d6e2bc,user_47,webcam,Reason church Congress future factor your debate position election daughter.,3,2025-06-10T23:30:02.044076+00:00
970b187f-c6b4-4e37-85f7-4424597e419c,user_9,webcam,Yes there happy have simply.,5,2025-06-10T23:30:02.044149+00:00
0bf034f4-3c00-4433-979a-c90f8890f93a,user_47,tablet,Almost news local service according relate.,5,2025-06-10T23:30:02.044214+00:00
816527cd-d3e7-4ca1-a2ca-5d0405610848,user_44,mouse,Hit right decade find material left.,4,2025-06-10T23:30:02.044280+00:00
9f2192b3-b054-4242-aca3-307870c9600b,user_18,laptop,Role democratic their table represent listen model happen operation.,4,2025-06-10T23:30:02.044339+00:00
2a73fd72-22f8-40ee-beed-29094737dc23,user_39,microphone,Discussion fear else crime charge about.,1,2025-06-10T23:30:02.044408+00:00
3ef3dbb6-4117-4c5a-a02d-9b0856aa04b7,user_24,laptop,National short suffer develop agency.,4,2025-06-10T23:30:02.044463+00:00
41cdc45c-39ad-40c1-a982-641d5589e6df,user_3,headphones,Indicate red watch help market year.,2,2025-06-10T23:30:02.044518+00:00
436d3af4-dec4-434b-bffb-643dfa7fb0a2,user_36,webcam,Over trouble after three age focus.,5,2025-06-10T23:30:02.044576+00:00
e306eb1d-ec12-4bb7-bb5c-437c44d0a875,user_49,tablet,Participant themselves situation music throughout.,1,2025-06-10T23:30:02.044634+00:00
c8f11eaa-cfbc-4dab-92c8-20bac26fb4b4,user_11,charger,Former change we make real pay note.,5,2025-06-10T23:30:02.044693+00:00
8e4561c0-b0d1-4547-b6e2-e2a9c58280af,user_21,tablet,Because husband perform grow bag also maintain happen Democrat song.,3,2025-06-10T23:30:02.044764+00:00
47bf9159-5b5e-4414-ba98-a3f5e39464b0,user_48,tablet,Never into each knowledge generation smile Congress hold hit include.,3,2025-06-10T23:30:02.044825+00:00
31957670-b180-41c7-bbc2-a5db89476b3a,user_13,laptop,Imagine against yet president certainly eye challenge need leave.,2,2025-06-10T23:30:02.044883+00:00
0d542633-c809-47d8-bec8-141e6356e5cd,user_32,tablet,Inside clear want newspaper form make western main window deal company.,2,2025-06-10T23:30:02.044948+00:00
d6c8b88d-e2ba-49a1-af1e-0958b82b4be4,user_50,microphone,True western yes door true need.,3,2025-06-10T23:30:02.045052+00:00
446b78aa-052d-497a-a49f-98ad0891fc53,user_40,charger,At huge near leg up difference statement radio land.,5,2025-06-10T23:30:02.045160+00:00
67127a67-f752-4359-a03d-58b66d122b08,user_6,headphones,Doctor air study partner thank bag if.,5,2025-06-10T23:30:02.045233+00:00
43f2cf41-9727-4684-b91f-60f55df94ed0,user_30,webcam,Late indicate mind staff for whose poor discussion tell.,1,2025-06-10T23:30:02.045296+00:00
ae23ee18-710f-424d-a6ac-9bca56620fa7,user_27,headphones,Learn perhaps simple whether author push improve.,2,2025-06-10T23:30:02.045363+00:00
9f618905-4cc3-4cdb-84fe-1861134cd4df,user_14,laptop,Discussion suffer develop TV white boy material campaign.,5,2025-06-10T23:30:02.045422+00:00
1927ded3-ed90-49f8-a789-3685b58b0e1f,user_3,webcam,Fear benefit establish change later.,2,2025-06-10T23:30:02.045478+00:00
ba318fc8-0058-4f78-9468-c09a68a5b87c,user_11,keyboard,Inside do capital culture interesting go degree marriage happen hand.,4,2025-06-10T23:30:02.045530+00:00
afdabad0-fb8e-472c-b445-17a0cd3ab625,user_23,laptop,Attention compare doctor positive interview.,5,2025-06-10T23:30:02.045583+00:00
a71901ea-442b-448c-877c-41324a0da0ae,user_23,laptop,Seek billion southern doctor everything hair billion fund.,1,2025-06-10T23:30:02.045645+00:00
3469d39a-a901-41e3-b7f5-78933ad9497c,user_49,microphone,Own particular floor professor interview need.,4,2025-06-10T23:30:02.045702+00:00
d6002e00-8434-44e0-b06e-5ffecf0a687a,user_31,charger,Pretty development reveal place little protect as now expect purpose consumer.,4,2025-06-10T23:30:02.045762+00:00
f3fb37eb-ab7c-4681-bbee-df15dc1e4737,user_34,monitor,List physical see avoid manage skill goal leave actually.,5,2025-06-10T23:30:02.045824+00:00
05269a7c-65fd-46c4-9f6e-d86bf8c299cf,user_18,microphone,Dinner behind share discuss too mission place figure follow over.,5,2025-06-10T23:30:02.045882+00:00
230b75e3-9cb7-4ede-8a6f-378e9b3ae9a0,user_19,keyboard,Add attention despite ten.,2,2025-06-10T23:30:02.045932+00:00
