transaction_id,user_id,product,amount,timestamp
e41fc8ae-04ec-418a-85a0-1d4067d581b6,user_5,laptop,439.45,2025-06-10T23:30:02.041825+00:00
e6c278e2-0623-4dea-bdbb-740b710ea264,user_13,microphone,147.36,2025-06-10T23:30:02.041871+00:00
e80f078f-4431-45d7-bbf4-4dd742435827,user_15,monitor,614.48,2025-06-10T23:30:02.041901+00:00
3d26336c-d864-43f1-9b03-5d14c72e131a,user_45,webcam,43.2,2025-06-10T23:30:02.041922+00:00
90c8f4e9-9f4f-4ce2-9311-e7a74e94df76,user_30,microphone,142.64,2025-06-10T23:30:02.041944+00:00
c14d8f15-9343-420d-8dfc-66257b5900f2,user_25,keyboard,746.56,2025-06-10T23:30:02.041966+00:00
2393891a-1cbc-4f9f-a9a1-c61592426047,user_41,tablet,786.36,2025-06-10T23:30:02.041985+00:00
04b68418-a778-4418-a1ca-948ded669363,user_17,tablet,917.63,2025-06-10T23:30:02.042008+00:00
30a20714-97ce-4bbb-81fe-c44e3c28788f,user_48,keyboard,219.93,2025-06-10T23:30:02.042028+00:00
ab59ac99-b48f-480c-bd45-b8fea66febae,user_38,webcam,124.47,2025-06-10T23:30:02.042049+00:00
39d49e14-b49a-4fc0-bc07-6ce6ac80b0c6,user_50,charger,21.99,2025-06-10T23:30:02.042068+00:00
68dd96f6-cfd2-4cdd-bb54-ebfce9a09f86,user_12,tablet,915.27,2025-06-10T23:30:02.042085+00:00
7aaa3d28-7718-4c34-8499-58d317e7309c,user_35,charger,993.89,2025-06-10T23:30:02.042103+00:00
5bcb549f-7b9c-41d6-8dd7-c206702192a2,user_21,laptop,641.56,2025-06-10T23:30:02.042138+00:00
d2504966-224e-43e0-82ab-3d01ece0b4d5,user_48,tablet,890.83,2025-06-10T23:30:02.042168+00:00
88b968c2-1108-44af-8e03-b8cfdf20ed95,user_27,keyboard,920.14,2025-06-10T23:30:02.042188+00:00
7f61c29a-a4ad-43c1-94de-9a07ab7c45ff,user_44,headphones,257.11,2025-06-10T23:30:02.042208+00:00
7f13795d-1228-43e4-9e18-c78e68ec2cb7,user_50,webcam,761.51,2025-06-10T23:30:02.042224+00:00
d7461bad-07cf-4ddd-9744-aa3c500ceeb0,user_17,keyboard,205.09,2025-06-10T23:30:02.042240+00:00
e73c5776-9782-46ec-8e8d-71497da3fa72,user_29,microphone,641.35,2025-06-10T23:30:02.042258+00:00
adeb8aa3-bf99-4302-88b1-7777aec72da8,user_39,monitor,331.35,2025-06-10T23:30:02.042275+00:00
7cd973a2-f478-48aa-b60b-a35dd5eaefa1,user_36,keyboard,356.44,2025-06-10T23:30:02.042292+00:00
846a3f1e-72df-402c-8454-8b5be2bca33f,user_41,keyboard,991.81,2025-06-10T23:30:02.042311+00:00
4bff0d87-f8f5-480c-a183-ea6ad1cf1c60,user_10,keyboard,264.31,2025-06-10T23:30:02.042328+00:00
bde41c29-cf72-4916-ba07-ee8f00cb3045,user_19,laptop,726.14,2025-06-10T23:30:02.042345+00:00
f665beca-5233-4c20-962e-b3d2f79e22e4,user_43,tablet,65.71,2025-06-10T23:30:02.042363+00:00
11a46d05-3d3b-48d9-a277-3281d8ac63d3,user_12,mouse,411.34,2025-06-10T23:30:02.042382+00:00
5f7639fd-c9b0-4c0c-a4db-01849222f6ed,user_9,tablet,275.68,2025-06-10T23:30:02.042397+00:00
