rating,product,timestamp,comment_id,comment,user_id
1,laptop,2025-06-08T01:40:04.005536,7f84c3d3-4920-446e-94e3-05ba1453fd81,Will buy again,user_15
4,keyboard,2025-06-08T01:40:04.005632,7d57dbae-b30d-43d7-adbe-3b2165aa8971,Not satisfied,user_15
2,monitor,2025-06-08T01:40:04.005722,7f79b955-7a38-4921-bf7a-37b3163d9784,Too expensive,user_11
3,monitor,2025-06-08T01:40:04.005822,295c1e52-687e-4ca4-a9ba-1004cc369dcd,Will buy again,user_8
2,monitor,2025-06-08T01:40:04.005914,5c3c6b30-bbfa-4ab7-8fac-4efdd4c60368,Not satisfied,user_14
5,mouse,2025-06-08T01:40:04.006015,ded816ad-1df4-4a40-91db-549fb85e49af,Will buy again,user_19
5,mouse,2025-06-08T01:40:04.006106,13cc893b-2029-4a83-b73b-74a0e7ba3e64,Excellent!,user_14
5,laptop,2025-06-08T01:40:04.006208,9dbc6ab8-c42e-4556-8333-d7c4562e8c19,Will buy again,user_4
1,monitor,2025-06-08T01:40:04.006299,2a25cf5f-c47b-4a8a-b6eb-d3ece03ddbe8,Great product!,user_16
5,monitor,2025-06-08T01:40:04.006389,b580d153-c939-4048-b4e4-129376fd95c0,Will buy again,user_16
