transaction_id,user_id,product,amount,timestamp
84b87789-32e8-4fca-9dfd-239e6bcff239,user_6,headphones,71.43,2025-06-05T01:55:55.136797
7fee3b53-c53b-46ff-9b65-6444fa8170e7,user_1,headphones,490.35,2025-06-05T01:55:55.136797
1f6bf607-b13a-40a7-88ce-b44f40a6f6d6,user_14,laptop,262.72,2025-06-05T01:55:55.136797
70c571c6-0d98-425b-b10c-f1fd9f25ab1b,user_3,mouse,340.49,2025-06-05T01:55:55.136797
fb5e3c2f-09b0-48e8-b2fc-b49aace69777,user_14,headphones,32.45,2025-06-05T01:55:55.136797
144c0c74-3a7f-4062-be34-efbc8ff8d8e2,user_5,headphones,299.88,2025-06-05T01:55:55.136797
b0c84ba6-a72a-4c5b-bc57-b9089c8ba400,user_2,mouse,158.92,2025-06-05T01:55:55.136797
ff32f675-6ab5-456c-99da-afc326996de4,user_7,mouse,489.24,2025-06-05T01:55:55.142858
5a5bbb81-4b04-4ef8-b014-2769834adbea,user_16,laptop,167.53,2025-06-05T01:55:55.142858
fc30140c-e9b0-4a37-9a78-f873a901bda5,user_5,keyboard,463.23,2025-06-05T01:55:55.142858
