transaction_id,user_id,product,amount,timestamp
87989bd3-a4e9-42ed-a222-26b30a16360a,user_12,headphones,216.14,2025-06-10T00:17:11.895158+00:00
06784772-8ae5-47dc-99a5-fbaad728ceb3,user_1,monitor,368.13,2025-06-10T00:17:11.895209+00:00
8f49a5ae-ea27-4cd7-a03a-c2b0a7ecece2,user_10,keyboard,89.08,2025-06-10T00:17:11.895236+00:00
9fe06174-e877-491e-8ba9-30ba217b4e69,user_16,laptop,321.1,2025-06-10T00:17:11.895258+00:00
e6d6c303-7af8-4e6c-a595-fbc726f16859,user_19,mouse,79.79,2025-06-10T00:17:11.895279+00:00
9e513364-0547-4384-b777-7256148e31f7,user_10,monitor,43.19,2025-06-10T00:17:11.895298+00:00
9a9209f5-3c24-43f0-9e97-2a23601e7256,user_16,laptop,487.83,2025-06-10T00:17:11.895316+00:00
3f4102e6-ebe4-453d-a1fb-b033c4b2dc80,user_17,headphones,430.33,2025-06-10T00:17:11.895335+00:00
510eefce-4534-413a-804a-449b4caf7def,user_20,keyboard,494.68,2025-06-10T00:17:11.895354+00:00
ee2f0d62-0e75-4d6b-a89b-9fd58a67fc1f,user_11,mouse,101.99,2025-06-10T00:17:11.895372+00:00
