comment_id,user_id,product,comment,rating,timestamp
5a7c1d50-2a0d-44d1-8d9a-66cfcff73e3d,user_19,mouse,Excellent!,3,2025-06-10T00:17:11.895399+00:00
78f09acb-1306-4de5-b141-536861ac4570,user_14,mouse,Too expensive,3,2025-06-10T00:17:11.895425+00:00
7bd7b73f-caab-4005-a830-ca53ed8e4e01,user_1,keyboard,Not satisfied,3,2025-06-10T00:17:11.895445+00:00
bc768ede-57dc-4c80-8ace-5252365cb4a1,user_17,mouse,Will buy again,5,2025-06-10T00:17:11.895464+00:00
1c70e264-3e05-4ec4-8284-1bd942f9ef3e,user_19,keyboard,Excellent!,3,2025-06-10T00:17:11.895482+00:00
b7c36354-64b9-41f2-8706-e287923f5245,user_17,keyboard,Will buy again,4,2025-06-10T00:17:11.895500+00:00
d1c71661-48c0-41a8-8fa7-40ecb9704fe2,user_10,headphones,Will buy again,4,2025-06-10T00:17:11.895518+00:00
6bf3efcf-645c-4fef-a6ef-c7d20959c1b5,user_1,laptop,Excellent!,3,2025-06-10T00:17:11.895536+00:00
4f9874d7-c046-4715-9be0-aa241961a589,user_4,headphones,Not satisfied,2,2025-06-10T00:17:11.895553+00:00
da077c8d-12c8-44a6-9462-40f82354e0de,user_16,laptop,Not satisfied,2,2025-06-10T00:17:11.895572+00:00
