rating,product,timestamp,comment_id,comment,user_id
4,mouse,2025-06-08T03:13:38.061041,8e954911-f045-4df4-8252-bd7b0b738cdc,Excellent!,user_3
2,monitor,2025-06-08T03:13:38.061088,e971873d-4a50-4c42-99a7-82778e498846,Excellent!,user_13
5,monitor,2025-06-08T03:13:38.061128,1fd582cb-eedc-4870-9357-07c1e5642b0d,Too expensive,user_6
5,keyboard,2025-06-08T03:13:38.061167,c7a39f62-6d9e-473e-9299-1c47f8e6a49b,Excellent!,user_17
2,headphones,2025-06-08T03:13:38.061207,56f6855a-33e0-4317-98d7-33b719c1fe69,Too expensive,user_18
1,monitor,2025-06-08T03:13:38.061244,786d85b5-7aff-4732-b891-fbec49dc02c6,Excellent!,user_16
1,keyboard,2025-06-08T03:13:38.061282,f1b49a5c-7268-421c-af29-1fed1920d60b,Will buy again,user_9
4,monitor,2025-06-08T03:13:38.061323,c5bd4f36-53fc-49ce-8c78-16e4d6f282c0,Great product!,user_11
3,headphones,2025-06-08T03:13:38.061360,c6a1c0ef-025d-48f0-b2ed-5c81367c0c1d,Will buy again,user_5
3,monitor,2025-06-08T03:13:38.061397,4101541f-777f-40dc-9da0-7516bc58dedc,Too expensive,user_4
