timestamp,amount,product,transaction_id,user_id
2025-06-05T16:46:56.957134,181.84,headphones,d0f9a13c-063d-429f-8f7b-b7501c5c0aee,user_17
2025-06-05T16:46:56.957282,434.55,monitor,9bdedc95-14aa-4c91-b456-a65c96ae33e8,user_11
2025-06-05T16:46:56.957406,292.35,keyboard,bd72b86d-f892-4546-a868-7d1ed1bcbbfc,user_15
2025-06-05T16:46:56.957531,285.47,headphones,0a8c8040-ff02-4e6e-bced-701a3d59fb98,user_8
2025-06-05T16:46:56.957648,254.55,headphones,5238c7c8-97b2-4bdd-b8ac-9d030cb38c76,user_3
2025-06-05T16:46:56.957770,189.61,headphones,81497fe4-bbe9-4a39-897d-d8b38c083ea8,user_10
2025-06-05T16:46:56.957884,86.73,keyboard,eeed0787-735b-4275-b3d5-3b0980363c8a,user_4
2025-06-05T16:46:56.957997,450.44,laptop,3675cad9-ea00-49a8-9ac0-0535aab0c7cf,user_10
2025-06-05T16:46:56.958106,76.73,mouse,62315c7d-1649-4974-a77b-aaaa77ac72ee,user_8
2025-06-05T16:46:56.958305,461.75,headphones,b7831748-de7a-4aa5-8652-5e90c1153a84,user_15
